Per,Nat,Pokemon,HP,Atk,Def,SpA,SpD,Spe,Total,Type I,Type II,Tier,Ability I,Ability II,Hidden Ability,Mass,LK/GK,EV Worth,EXPV,Color,Hatch,Gender,Egg Group I,Egg Group II,Catch,EXP,Evolve,Per.1,Nat.1,Joh,Hoe,Sin,Un,Pokemon.1,generation
129.0,114.0,Tangela,65,55,115,100,40,60,435,Grass,,RU,Chlorophyll,Leaf Guard,Regenerator,35.0 kG,60,1 Def,166,Blue,5120,Neutral,Grass,,45,1000000,,129.0,114.0,179.0,,181.0,,Tangela,1
131.0,115.0,Kangaskhan,105,95,80,40,80,90,490,Normal,,NU,Early Bird,Scrappy,Inner Focus,80.0 kG,80,2 HP,175,Brown,5120,F (100%),Monster,,45,1000000,N,131.0,115.0,205.0,,,,Kangaskhan,1
132.0,116.0,Horsea,30,40,70,70,25,60,295,Water,,NU,Swift Swim,Sniper,Damp,8.0 kG,20,1 SpA,83,Blue,5120,Neutral,Water 1,Dragon,225,1000000,,132.0,116.0,186.0,184.0,,,Horsea,1
133.0,117.0,Seadra,55,65,95,95,45,85,440,Water,,NU,Poison Point,Sniper,Damp,25.0 kG,40,1 Def/1 SpA,155,Blue,,Neutral,Water 1,Dragon,75,1000000,Lv. 32,133.0,117.0,187.0,185.0,,,Seadra,1
135.0,118.0,Goldeen,45,67,60,35,50,63,320,Water,,NU,Swift Swim,Water Veil,Lightningrod,15.0 kG,40,1 Atk,111,Red,5120,Neutral,Water 2,,225,1000000,,135.0,118.0,78.0,50.0,78.0,,Goldeen,1
136.0,119.0,Seaking,80,92,65,65,80,68,450,Water,,NU,Swift Swim,Water Veil,Lightningrod,39.0 kG,60,2 Atk,170,Red,,Neutral,Water 2,,60,1000000,Lv. 33,136.0,119.0,79.0,51.0,79.0,,Seaking,1
137.0,120.0,Staryu,30,45,55,70,55,85,340,Water,,NU,Illuminate,Natural Cure,Analytic,34.5 kG,60,1 Spe,106,Brown,5120,,Water 3,,225,1250000,,137.0,120.0,167.0,143.0,,,Staryu,1
138.0,121.0,Starmie,60,75,85,100,85,115,520,Water,Psychic,OU,Illuminate,Natural Cure,Analytic,80.0 kG,80,2 Spe,207,Purple,,,Water 3,,60,1250000,Water Stone,138.0,121.0,168.0,144.0,,,Starmie,1
140.0,122.0,Mr. Mime,40,45,65,100,120,90,460,Psychic,,NU,Soundproof,Filter,Technician,54.5 kG,80,2 SpD,136,Pink,6400,Neutral,Human-Like,,45,1000000,Level w/ Mimic,140.0,122.0,156.0,,95.0,,Mr. Mime,1
141.0,123.0,Scyther,70,110,80,55,80,105,500,Bug,Flying,RU,Swarm,Technician,Steadfast,56.0 kG,80,1 Atk,187,Green,6400,Neutral,Bug,,45,1000000,,141.0,123.0,110.0,,195.0,,Scyther,1
144.0,124.0,Jynx,65,50,35,115,95,95,455,Ice,Psychic,NU,Oblivious,Forewarn,Dry Skin,40.6 kG,60,2 SpA,137,Red,,F (100%),Human-Like,,45,1000000,Lv. 30,144.0,124.0,153.0,,,,Jynx,1
146.0,125.0,Electabuzz,65,83,57,95,85,105,490,Electric,,NU,Static,,Vital Spirit,30.0 kG,60,2 Spe,156,Yellow,,M (75%),Human-Like,,45,1000000,Lv. 30,146.0,125.0,155.0,,198.0,,Electabuzz,1
149.0,126.0,Magmar,65,95,57,100,85,93,495,Fire,,NU,Flame Body,,Vital Spirit,44.5 kG,60,2 SpA,167,Red,,M (75%),Human-Like,,45,1000000,Lv. 30,149.0,126.0,151.0,,201.0,,Magmar,1
151.0,127.0,Pinsir,65,125,100,55,70,85,500,Bug,,NU,Hyper Cutter,Mold Breaker,Moxie,55.0 kG,80,2 Atk,200,Brown,6400,Neutral,Bug,,45,1250000,N,151.0,127.0,112.0,167.0,,,Pinsir,1
152.0,128.0,Tauros,75,100,95,40,70,110,490,Normal,,NU,Intimidate,Anger Point,Sheer Force,88.4 kG,80,1 Atk/1 Spe,211,Brown,5120,M (100%),Field,,45,1250000,N,152.0,128.0,148.0,,,,Tauros,1
153.0,129.0,Magikarp,20,10,55,15,20,80,200,Water,,NU,Swift Swim,,Rattled,10.0 kG,20,1 Spe,20,Red,1280,Neutral,Water 2,Dragon,255,1250000,,153.0,129.0,76.0,52.0,23.0,,Magikarp,1
154.0,130.0,Gyarados,95,125,79,60,100,81,540,Water,Flying,OU,Intimidate,,Moxie,235.0 kG,120,2 Atk,214,Blue,,Neutral,Water 2,Dragon,45,1250000,Lv. 20,154.0,130.0,77.0,53.0,24.0,,Gyarados,1
155.0,131.0,Lapras,130,85,80,85,95,60,535,Water,Ice,NU,Water Absorb,Shell Armor,Hydration,220.0 kG,120,2 HP,219,Blue,10240,Neutral,Monster,Water 1,45,1250000,N,155.0,131.0,219.0,,,,Lapras,1
156.0,132.0,Ditto,48,48,48,48,48,48,288,Normal,,NU,Limber,,Imposter,4.0 kG,20,1 HP,61,Purple,,,Ditto,,35,1000000,N,156.0,132.0,92.0,,,,Ditto,1
157.0,133.0,Eevee,55,55,50,45,65,55,325,Normal,,NU,Run Away,Adaptability,Anticipation,6.5 kG,20,1 SpD,92,Brown,8960,M (87.5%),Field,,45,1000000,,157.0,133.0,180.0,,163.0,,Eevee,1
158.0,134.0,Vaporeon,130,65,60,110,95,65,525,Water,,OU,Water Absorb,,Hydration,29.0 kG,60,2 HP,196,Blue,,M (87.5%),Field,,45,1000000,Water Stone,158.0,134.0,181.0,,164.0,,Vaporeon,1
159.0,135.0,Jolteon,65,65,60,110,95,130,525,Electric,,UU,Volt Absorb,,Quick Feet,24.5 kG,40,2 Spe,197,Yellow,,M (87.5%),Field,,45,1000000,Thunderstone,159.0,135.0,182.0,,165.0,,Jolteon,1
160.0,136.0,Flareon,65,130,60,95,110,65,525,Fire,,NU,Flash Fire,,Guts,25.0 kG,40,2 Atk,198,Red,,M (87.5%),Field,,45,1000000,Fire Stone,160.0,136.0,183.0,,166.0,,Flareon,1
165.0,137.0,Porygon,65,60,70,85,75,40,395,Normal,,NU,Trace,Download,Analytic,36.5 kG,60,1 SpA,130,Pink,5120,,Mineral,,45,1000000,,165.0,137.0,215.0,,192.0,,Porygon,1
168.0,138.0,Omanyte,35,40,100,90,55,35,355,Rock,Water,NU,Swift Swim,Shell Armor,Weak Armor,7.5 kG,20,1 Def,99,Blue,7680,M (87.5%),Water 1,Water 3,45,1000000,,168.0,138.0,220.0,,,,Omanyte,1
169.0,139.0,Omastar,70,60,125,115,70,55,495,Rock,Water,RU,Swift Swim,Shell Armor,Weak Armor,35.0 kG,60,2 Def,199,Blue,,M (87.5%),Water 1,Water 3,45,1000000,Lv. 40,169.0,139.0,221.0,,,,Omastar,1
170.0,140.0,Kabuto,30,80,90,55,45,55,355,Rock,Water,NU,Swift Swim,Battle Armor,Weak Armor,11.5 kG,40,1 Def,99,Brown,7680,M (87.5%),Water 1,Water 3,45,1000000,,170.0,140.0,222.0,,,,Kabuto,1
171.0,141.0,Kabutops,60,115,105,65,70,80,495,Rock,Water,NU,Swift Swim,Battle Armor,Weak Armor,40.5 kG,60,2 Atk,199,Brown,,M (87.5%),Water 1,Water 3,45,1000000,Lv. 40,171.0,141.0,223.0,,,,Kabutops,1
172.0,142.0,Aerodactyl,80,105,65,60,75,130,515,Rock,Flying,UU,Rock Head,Pressure,Unnerve,59.0 kG,80,2 Spe,202,Purple,8960,M (87.5%),Flying,,45,1250000,N,172.0,142.0,224.0,,,,Aerodactyl,1
174.0,143.0,Snorlax,160,110,65,65,110,30,540,Normal,,UU,Immunity,Thick Fat,Gluttony,460.0 kG,120,2 HP,154,Black,10240,M (87.5%),Monster,,25,1250000,Friendship,174.0,143.0,225.0,,113.0,,Snorlax,1
175.0,144.0,Articuno,90,85,100,95,125,85,580,Ice,Flying,NU,Pressure,,Snow Cloak,55.4 kG,80,3 SpD,215,Blue,NONE,,-,,3,1250000,N,175.0,144.0,235.0,,,,Articuno,1
176.0,145.0,Zapdos,90,90,85,125,90,100,580,Electric,Flying,UU,Pressure,,Lightningrod,52.6 kG,80,3 SpA,216,Yellow,NONE,,-,,3,1250000,N,176.0,145.0,236.0,,,,Zapdos,1
177.0,146.0,Moltres,90,100,90,125,85,90,580,Fire,Flying,RU,Pressure,,Flame Body,60.0 kG,80,3 SpA,217,Yellow,NONE,,-,,3,1250000,N,177.0,146.0,237.0,,,,Moltres,1
178.0,147.0,Dratini,41,64,45,50,50,50,300,Dragon,,NU,Shed Skin,,Marvel Scale,3.3 kG,20,1 Atk,67,Blue,10240,Neutral,Water 1,Dragon,45,1250000,,178.0,147.0,241.0,,,,Dratini,1
179.0,148.0,Dragonair,61,84,65,70,70,70,420,Dragon,,NU,Shed Skin,,Marvel Scale,16.5 kG,40,2 Atk,144,Blue,,Neutral,Water 1,Dragon,45,1250000,Lv. 30,179.0,148.0,242.0,,,,Dragonair,1
180.0,149.0,Dragonite,91,134,95,100,100,80,600,Dragon,Flying,OU,Inner Focus,,Multiscale,210.0 kG,120,3 Atk,218,Brown,,Neutral,Water 1,Dragon,45,1250000,Lv. 55,180.0,149.0,243.0,,,,Dragonite,1
181.0,150.0,Mewtwo,106,110,90,154,90,130,680,Psychic,,Uber,Pressure,,Unnerve,122.0 kG,100,3 SpA,220,Purple,NONE,,-,,3,1250000,N,181.0,150.0,249.0,,,,Mewtwo,1
182.0,151.0,Mew,100,100,100,100,100,100,600,Psychic,,UU,Synchronize,,,4.0 kG,20,3 HP,64,Pink,NONE,,-,,45,1059860,N,182.0,151.0,250.0,,,,Mew,1
183.0,152.0,Chikorita,45,49,65,49,65,45,318,Grass,,NU,Overgrow,,Leaf Guard,6.4 kG,20,1 SpD,64,Green,5120,M (87.5%),Monster,Grass,45,1059860,,183.0,152.0,1.0,,,,Chikorita,2
184.0,153.0,Bayleef,60,62,80,63,80,69,414,Grass,,NU,Overgrow,,Leaf Guard,15.8 kG,40,1 Def/1 SpD,141,Green,,M (87.5%),Monster,Grass,45,1059860,Lv. 16,184.0,153.0,2.0,,,,Bayleef,2
185.0,154.0,Meganium,80,82,100,83,100,80,525,Grass,,NU,Overgrow,,Leaf Guard,100.5 kG,100,1 Def/2 SpD,208,Green,,M (87.5%),Monster,Grass,45,1059860,Lv. 32,185.0,154.0,3.0,,,,Meganium,2
186.0,155.0,Cyndaquil,39,52,43,60,50,65,309,Fire,,NU,Blaze,,Flash Fire,7.9 kG,20,1 Spe,65,Yellow,5120,M (87.5%),Field,,45,1059860,,186.0,155.0,4.0,,,,Cyndaquil,2
187.0,156.0,Quilava,58,64,58,80,65,80,405,Fire,,NU,Blaze,,Flash Fire,19.0 kG,40,1 SpA/1 Spe,142,Yellow,,M (87.5%),Field,,45,1059860,Lv. 14,187.0,156.0,5.0,,,,Quilava,2
188.0,157.0,Typhlosion,78,84,78,109,85,100,534,Fire,,RU,Blaze,,Flash Fire,79.5 kG,80,3 SpA,209,Yellow,,M (87.5%),Field,,45,1059860,Lv. 36,188.0,157.0,6.0,,,,Typhlosion,2
189.0,158.0,Totodile,50,65,64,44,48,43,314,Water,,NU,Torrent,,Sheer Force,9.5 kG,20,1 Atk,66,Blue,5120,M (87.5%),Monster,Water 1,45,1059860,,189.0,158.0,7.0,,,,Totodile,2
190.0,159.0,Croconaw,65,80,80,59,63,58,405,Water,,NU,Torrent,,Sheer Force,25.0 kG,40,1 Atk/1 Def,143,Blue,,M (87.5%),Monster,Water 1,45,1059860,Lv. 18,190.0,159.0,8.0,,,,Croconaw,2
191.0,160.0,Feraligatr,85,105,100,79,83,78,530,Water,,RU,Torrent,,Sheer Force,88.8 kG,80,2 Atk/1 Def,210,Blue,,M (87.5%),Monster,Water 1,45,1059860,Lv. 30,191.0,160.0,9.0,,,,Feraligatr,2
192.0,161.0,Sentret,35,46,34,35,45,20,215,Normal,,NU,Run Away,Keen Eye,Frisk,6.0 kG,20,1 Atk,57,Brown,3840,Neutral,Field,,255,1000000,,192.0,161.0,19.0,,,,Sentret,2
193.0,162.0,Furret,85,76,64,45,55,90,415,Normal,,NU,Run Away,Keen Eye,Frisk,32.5 kG,60,2 Spe,116,Brown,,Neutral,Field,,90,1000000,Lv. 15,193.0,162.0,20.0,,,,Furret,2
194.0,163.0,Hoothoot,60,30,30,36,56,50,262,Normal,Flying,NU,Insomnia,Keen Eye,Tinted Lens,21.2 kG,40,1 HP,58,Brown,3840,Neutral,Flying,,255,1000000,,194.0,163.0,15.0,,106.0,,Hoothoot,2
195.0,164.0,Noctowl,100,50,50,76,96,70,442,Normal,Flying,NU,Insomnia,Keen Eye,Tinted Lens,40.8 kG,60,2 HP,162,Brown,,Neutral,Flying,,90,1000000,Lv. 20,195.0,164.0,16.0,,107.0,,Noctowl,2
196.0,165.0,Ledyba,40,20,30,40,80,55,265,Bug,Flying,NU,Swarm,Early Bird,Rattled,10.8 kG,40,1 SpD,54,Red,3840,Neutral,Bug,,255,800000,,196.0,165.0,30.0,,,,Ledyba,2
197.0,166.0,Ledian,55,35,50,55,110,85,390,Bug,Flying,NU,Swarm,Early Bird,Iron Fist,35.6 kG,60,2 SpD,134,Red,,Neutral,Bug,,90,800000,Lv. 18,197.0,166.0,31.0,,,,Ledian,2
198.0,167.0,Spinarak,40,60,40,40,40,30,250,Bug,Poison,NU,Swarm,Insomnia,Sniper,8.5 kG,20,1 Atk,54,Green,3840,Neutral,Bug,,255,800000,,198.0,167.0,32.0,,,,Spinarak,2
199.0,168.0,Ariados,70,90,70,60,60,40,390,Bug,Poison,NU,Swarm,Insomnia,Sniper,33.5 kG,60,2 Atk,134,Red,,Neutral,Bug,,90,800000,Lv. 22,199.0,168.0,33.0,,,,Ariados,2
46.0,169.0,Crobat,85,90,80,70,80,130,535,Poison,Flying,UU,Inner Focus,,Infiltrator,75.0 kG,80,3 Spe,204,Purple,,Neutral,Flying,,90,1000000,Friendship,46.0,169.0,39.0,65.0,30.0,,Crobat,2
200.0,170.0,Chinchou,75,38,38,56,56,67,330,Water,Electric,NU,Volt Absorb,Illuminate,Water Absorb,12.0 kG,40,1 HP,90,Blue,5120,Neutral,Water 2,,190,1250000,,200.0,170.0,174.0,181.0,,,Chinchou,2
201.0,171.0,Lanturn,125,58,58,76,76,67,460,Water,Electric,NU,Volt Absorb,Illuminate,Water Absorb,22.5 kG,40,2 HP,156,Blue,,Neutral,Water 2,,75,1250000,Lv. 27,201.0,171.0,175.0,182.0,,,Lanturn,2
25.0,172.0,Pichu,20,40,15,35,35,60,205,Electric,,NU,Static,,Lightningrod,2.0 kG,20,1 Spe,42,Yellow,2560,Neutral,-,,190,1000000,,25.0,172.0,21.0,155.0,103.0,,Pichu,2
36.0,173.0,Cleffa,50,25,28,45,55,15,218,Normal,,NU,Cute Charm,Magic Guard,Friend Guard,3.0 kG,20,2 SpD,37,Pink,2560,F (75%),-,,150,800000,,36.0,173.0,40.0,,99.0,,Cleffa,2
41.0,174.0,Igglybuff,90,30,15,40,20,15,210,Normal,,NU,Cute Charm,,Friend Guard,1.0 kG,20,1 HP,39,Pink,2560,F (75%),-,,170,800000,,41.0,174.0,43.0,137.0,,,Igglybuff,2
202.0,175.0,Togepi,35,20,65,40,65,20,245,Normal,,NU,Hustle,Serene Grace,Super Luck,1.5 kG,20,1 SpD,74,White,2560,M (87.5%),-,,190,800000,,202.0,175.0,46.0,,173.0,,Togepi,2
203.0,176.0,Togetic,55,40,85,80,105,40,405,Normal,Flying,NU,Hustle,Serene Grace,Super Luck,3.2 kG,20,2 SpD,114,White,,M (87.5%),Flying,Fairy,75,800000,Friendship,203.0,176.0,47.0,,174.0,,Togetic,2
205.0,177.0,Natu,40,50,45,70,45,70,320,Psychic,Flying,NU,Synchronize,Early Bird,Magic Bounce,2.0 kG,20,1 SpA,73,Green,5120,Neutral,Flying,,190,1000000,,205.0,177.0,159.0,162.0,,,Natu,2
206.0,178.0,Xatu,65,75,70,95,70,95,470,Psychic,Flying,UU,Synchronize,Early Bird,Magic Bounce,15.0 kG,40,1 SpA/1 Spe,171,Green,,Neutral,Flying,,75,1000000,Lv. 25,206.0,178.0,160.0,163.0,,,Xatu,2
207.0,179.0,Mareep,55,40,40,65,45,35,280,Electric,,NU,Static,,Plus,7.8 kG,20,1 SpA,59,White,5120,Neutral,Monster,Field,235,1059860,,207.0,179.0,53.0,,,,Mareep,2
208.0,180.0,Flaaffy,70,55,55,80,60,45,365,Electric,,NU,Static,,Plus,13.3 kG,40,2 SpA,117,Pink,,Neutral,Monster,Field,120,1059860,Lv. 15,208.0,180.0,54.0,,,,Flaaffy,2
209.0,181.0,Ampharos,90,75,75,115,90,55,500,Electric,,NU,Static,,Plus,61.5 kG,80,3 SpA,194,Yellow,,Neutral,Monster,Field,45,1059860,Lv. 30,209.0,181.0,55.0,,,,Ampharos,2
50.0,182.0,Bellossom,75,80,85,90,100,50,480,Grass,,NU,Chlorophyll,,Healer,5.8 kG,20,3 SpD,184,Green,,Neutral,Grass,,45,1059860,Sun Stone,50.0,182.0,86.0,91.0,,,Bellossom,2
211.0,183.0,Marill,70,20,50,20,50,40,250,Water,,NU,Thick Fat,Huge Power,Sap Sipper,8.5 kG,20,2 HP,58,Blue,2560,Neutral,Water 1,Fairy,190,800000,Friendship,211.0,183.0,130.0,55.0,125.0,,Marill,2
212.0,184.0,Azumarill,100,50,80,50,80,50,410,Water,,UU,Thick Fat,Huge Power,Sap Sipper,28.5 kG,60,3 HP,153,Blue,,Neutral,Water 1,Fairy,75,800000,Lv. 18,212.0,184.0,131.0,56.0,126.0,,Azumarill,2
214.0,185.0,Sudowoodo,70,100,115,30,65,30,410,Rock,,NU,Sturdy,Rock Head,Rattled,38.0 kG,60,2 Def,135,Brown,5120,Neutral,Mineral,,65,1000000,Level w/ Mimic,214.0,185.0,106.0,,,,Sudowoodo,2
68.0,186.0,Politoed,90,75,75,90,100,70,500,Water,,OU,Water Absorb,Damp,Drizzle,33.9 kG,60,3 SpD,185,Green,,Neutral,Water 1,,45,1059860,Trade h/ Kings Rock,68.0,186.0,75.0,,,,Politoed,2
215.0,187.0,Hoppip,35,35,40,35,55,50,250,Grass,Flying,NU,Chlorophyll,Leaf Guard,Infiltrator,0.5 kG,20,1 SpD,74,Pink,5120,Neutral,Fairy,Grass,255,1059860,,215.0,187.0,67.0,,,,Hoppip,2
216.0,188.0,Skiploom,55,45,50,45,65,80,340,Grass,Flying,NU,Chlorophyll,Leaf Guard,Infiltrator,1.0 kG,20,2 Spe,136,Green,,Neutral,Fairy,Grass,120,1059860,Lv. 18,216.0,188.0,68.0,,,,Skiploom,2
217.0,189.0,Jumpluff,75,55,70,55,85,110,450,Grass,Flying,NU,Chlorophyll,Leaf Guard,Infiltrator,3.0 kG,20,3 Spe,176,Blue,,Neutral,Fairy,Grass,45,1059860,Lv. 27,217.0,189.0,69.0,,,,Jumpluff,2
218.0,190.0,Aipom,55,70,55,40,55,85,360,Normal,,NU,Run Away,Pickup,Skill Link,11.5 kG,40,1 Spe,94,Purple,5120,Neutral,Field,,45,800000,,218.0,190.0,122.0,,63.0,,Aipom,2
220.0,191.0,Sunkern,30,30,30,30,30,30,180,Grass,,NU,Chlorophyll,Solar Power,Early Bird,1.8 kG,20,1 SpA,52,Yellow,5120,Neutral,Grass,,235,1059860,,220.0,191.0,102.0,,,,Sunkern,2
221.0,192.0,Sunflora,75,75,55,105,85,30,425,Grass,,NU,Chlorophyll,Solar Power,Early Bird,8.5 kG,20,2 SpA,146,Yellow,,Neutral,Grass,,120,1059860,Sun Stone,221.0,192.0,103.0,,,,Sunflora,2
222.0,193.0,Yanma,65,65,45,75,45,95,390,Bug,Flying,NU,Speed Boost,Compoundeyes,Frisk,38.0 kG,60,2 Spe,147,Red,5120,Neutral,Bug,,75,1000000,,222.0,193.0,101.0,,183.0,,Yanma,2
224.0,194.0,Wooper,55,45,45,25,25,15,210,Water,Ground,NU,Damp,Water Absorb,Unaware,8.5 kG,20,1 HP,52,Blue,5120,Neutral,Water 1,Field,255,1000000,,224.0,194.0,56.0,,117.0,,Wooper,2
225.0,195.0,Quagsire,95,85,85,65,65,35,430,Water,Ground,RU,Damp,Water Absorb,Unaware,75.0 kG,80,2 HP,137,Blue,,Neutral,Water 1,Field,90,1000000,Lv. 20,225.0,195.0,57.0,,118.0,,Quagsire,2
161.0,196.0,Espeon,65,65,60,130,95,110,525,Psychic,,BL,Synchronize,,Magic Bounce,26.5 kG,60,2 SpA,197,Purple,,M (87.5%),Field,,45,1000000,Morn/Day Friendship,161.0,196.0,184.0,,167.0,,Espeon,2
162.0,197.0,Umbreon,95,65,110,60,130,65,525,Dark,,RU,Synchronize,,Inner Focus,27.0 kG,60,2 SpD,197,Black,,M (87.5%),Field,,45,1000000,Nite Friendship,162.0,197.0,185.0,,168.0,,Umbreon,2
226.0,198.0,Murkrow,60,85,42,85,42,91,405,Dark,Flying,NU,Insomnia,Super Luck,Prankster,2.1 kG,20,1 Spe,107,Black,5120,Neutral,Flying,,30,1059860,,226.0,198.0,208.0,,74.0,,Murkrow,2
87.0,199.0,Slowking,95,75,80,100,110,30,490,Water,Psychic,NU,Oblivious,Own Tempo,Regenerator,79.5 kG,80,3 SpD,164,Pink,,Neutral,Monster,Water 1,70,1000000,Trade h/ Kings Rock,87.0,199.0,82.0,,,,Slowking,2
228.0,200.0,Misdreavus,60,60,60,85,85,85,435,Ghost,,NU,Levitate,,,1.0 kG,20,1 SpD,147,Gray,6400,Neutral,Amorphous,,45,800000,,228.0,200.0,214.0,,72.0,,Misdreavus,2
230.0,201.0,Unown,48,72,48,72,48,48,336,Psychic,,NU,Levitate,,,5.0 kG,20,1 Atk/1 SpA,61,Black,NONE,,-,,225,1000000,N,230.0,201.0,61.0,,114.0,,Unown,2
232.0,202.0,Wobbuffet,190,33,58,33,58,33,405,Psychic,,BL,Shadow Tag,,Telepathy,28.5 kG,60,2 HP,177,Blue,5120,Neutral,Amorphous,,45,1000000,Lv. 15,232.0,202.0,107.0,161.0,,,Wobbuffet,2
233.0,203.0,Girafarig,70,80,65,90,65,85,455,Normal,Psychic,NU,Inner Focus,Early Bird,Sap Sipper,41.5 kG,60,2 SpA,149,Yellow,5120,Neutral,Field,,60,1000000,N,233.0,203.0,147.0,164.0,121.0,,Girafarig,2
234.0,204.0,Pineco,50,65,90,35,35,15,290,Bug,,NU,Sturdy,,Overcoat,7.2 kG,20,1 Def,60,Gray,5120,Neutral,Bug,,190,1000000,,234.0,204.0,93.0,,,,Pineco,2
235.0,205.0,Forretress,75,90,140,60,60,40,465,Bug,Steel,OU,Sturdy,,Overcoat,125.8 kG,100,2 Def,118,Purple,,Neutral,Bug,,75,1000000,Lv. 31,235.0,205.0,94.0,,,,Forretress,2
236.0,206.0,Dunsparce,100,70,70,65,65,45,415,Normal,,NU,Serene Grace,Run Away,Rattled,14.0 kG,40,1 HP,125,Yellow,5120,Neutral,Field,,190,1000000,N,236.0,206.0,52.0,,,,Dunsparce,2
237.0,207.0,Gligar,65,75,105,35,65,85,430,Ground,Flying,RU,Hyper Cutter,Sand Veil,Immunity,64.8 kG,80,1 Def,108,Purple,5120,Neutral,Bug,,60,1059860,,237.0,207.0,189.0,,153.0,,Gligar,2
104.0,208.0,Steelix,75,85,200,55,65,30,510,Steel,Ground,RU,Rock Head,Sturdy,Sheer Force,400.0 kG,120,2 Def,196,Gray,,Neutral,Mineral,,25,1000000,Trade h/ Metal Coat,104.0,208.0,63.0,,35.0,,Steelix,2
239.0,209.0,Snubbull,60,80,50,40,40,30,300,Normal,,NU,Intimidate,Run Away,Rattled,7.8 kG,20,1 Atk,63,Pink,5120,F (75%),Field,Fairy,190,800000,,239.0,209.0,123.0,,,,Snubbull,2
240.0,210.0,Granbull,90,120,75,60,60,45,450,Normal,,NU,Intimidate,Quick Feet,Rattled,48.7 kG,60,2 Atk,178,Purple,,F (75%),Field,Fairy,75,800000,Lv. 23,240.0,210.0,124.0,,,,Granbull,2
241.0,211.0,Qwilfish,65,95,75,55,55,85,430,Water,Poison,RU,Poison Point,Swift Swim,Intimidate,3.9 kG,20,1 Atk,100,Gray,5120,Neutral,Water 2,,45,1000000,N,241.0,211.0,161.0,,,,Qwilfish,2
142.0,212.0,Scizor,70,130,100,55,80,65,500,Bug,Steel,OU,Swarm,Technician,Light Metal,118.0 kG,100,2 Atk,200,Red,,Neutral,Bug,,25,1000000,Trade h/ Metal Coat,142.0,212.0,111.0,,196.0,,Scizor,2
242.0,213.0,Shuckle,20,10,230,10,230,5,505,Bug,Rock,NU,Sturdy,Gluttony,Contrary,20.5 kG,40,1 Def/1 SpD,80,Yellow,5120,Neutral,Bug,,190,1059860,N,242.0,213.0,166.0,,,,Shuckle,2
243.0,214.0,Heracross,80,125,75,40,95,85,500,Bug,Fighting,UU,Swarm,Guts,Moxie,54.0 kG,80,2 Atk,200,Blue,6400,Neutral,Bug,,45,1250000,N,243.0,214.0,113.0,168.0,62.0,,Heracross,2
244.0,215.0,Sneasel,55,95,55,35,75,115,430,Dark,Ice,NU,Inner Focus,Keen Eye,Pickpocket,28.0 kG,60,1 Spe,132,Black,5120,Neutral,Field,,60,1059860,,244.0,215.0,213.0,,144.0,,Sneasel,2
246.0,216.0,Teddiursa,60,80,50,50,50,40,330,Normal,,NU,Pickup,Quick Feet,Honey Gather,8.8 kG,20,1 Atk,124,Brown,5120,Neutral,Field,,120,1000000,,246.0,216.0,193.0,,,,Teddiursa,2
247.0,217.0,Ursaring,90,130,75,75,75,55,500,Normal,,NU,Guts,Quick Feet,Unnerve,125.8 kG,100,2 Atk,189,Brown,,Neutral,Field,,60,1000000,Lv. 30,247.0,217.0,194.0,,,,Ursaring,2
248.0,218.0,Slugma,40,40,40,70,40,20,250,Fire,,NU,Magma Armor,Flame Body,Weak Armor,35.0 kG,60,1 SpA,78,Red,5120,Neutral,Amorphous,,190,1000000,,248.0,218.0,211.0,103.0,,,Slugma,2
249.0,219.0,Magcargo,50,50,120,80,80,30,410,Fire,Rock,NU,Magma Armor,Flame Body,Weak Armor,55.0 kG,80,2 Def,154,Red,,Neutral,Amorphous,,75,1000000,Lv. 38,249.0,219.0,212.0,104.0,,,Magcargo,2
250.0,220.0,Swinub,50,50,40,30,30,50,250,Ice,Ground,NU,Oblivious,Snow Cloak,Thick Fat,6.5 kG,20,1 Atk,78,Brown,5120,Neutral,Field,,225,1250000,,250.0,220.0,191.0,,203.0,,Swinub,2
251.0,221.0,Piloswine,100,100,80,60,60,50,450,Ice,Ground,NU,Oblivious,Snow Cloak,Thick Fat,55.8 kG,80,1 HP/1 Atk,160,Brown,,Neutral,Field,,75,1250000,Lv. 33,251.0,221.0,192.0,,204.0,,Piloswine,2
253.0,222.0,Corsola,55,55,85,65,85,35,380,Water,Rock,NU,Hustle,Natural Cure,Regenerator,5.0 kG,20,1 Def/1 SpD,113,Pink,5120,F (75%),Water 1,Water 3,60,800000,N,253.0,222.0,171.0,180.0,,,Corsola,2
254.0,223.0,Remoraid,35,65,35,65,35,65,300,Water,,NU,Hustle,Sniper,Moody,12.0 kG,40,1 SpA,78,Gray,5120,Neutral,Water 1,Water 2,190,1000000,,254.0,223.0,172.0,,132.0,,Remoraid,2
255.0,224.0,Octillery,75,105,75,105,75,45,480,Water,,NU,Suction Cups,Sniper,Moody,28.5 kG,60,1 Atk/1 SpA,164,Red,,Neutral,Water 1,Water 2,75,1000000,Lv. 25,255.0,224.0,173.0,,133.0,,Octillery,2
256.0,225.0,Delibird,45,55,45,65,45,75,330,Ice,Flying,NU,Vital Spirit,Hustle,Insomnia,16.0 kG,40,1 Spe,183,Red,5120,Neutral,Water 1,Field,45,800000,N,256.0,225.0,190.0,,,,Delibird,2
